exp_id,dataset,noise_model,noise_level,uq_method,coverage,mean_width,rmse,mae,r2
MichaelisMenten_homoskedastic_noise10,MichaelisMenten,homoskedastic,0.1,Ensemble,0.824,0.07224418445669883,0.02679982231629998,0.020026487496549006,0.981292492975144
MichaelisMenten_homoskedastic_noise10,MichaelisMenten,homoskedastic,0.1,EnsembleCalibrated,0.76000005,0.06249729208311375,0.02679982231629998,0.020026487496549006,0.981292492975144
MichaelisMenten_heteroskedastic_noise01,MichaelisMenten,heteroskedastic,0.01,Ensemble,0.844,0.0257300096278959,0.012725509283963793,0.007841095464682413,0.995684589627107
MichaelisMenten_heteroskedastic_noise01,MichaelisMenten,heteroskedastic,0.01,EnsembleCalibrated,0.906,0.03154980263292387,0.012725509283963793,0.007841095464682413,0.995684589627107
MichaelisMenten_heteroskedastic_noise02,MichaelisMenten,heteroskedastic,0.02,Ensemble,0.864,0.0660988270028412,0.024811700158160498,0.01606745948713844,0.9837351077505259
MichaelisMenten_heteroskedastic_noise02,MichaelisMenten,heteroskedastic,0.02,EnsembleCalibrated,0.89400005,0.06354289961167643,0.024811700158160498,0.01606745948713844,0.9837351077505259
MichaelisMenten_heteroskedastic_noise05,MichaelisMenten,heteroskedastic,0.05,Ensemble,0.74,0.08617297434114274,0.03835712733581694,0.02995556971624922,0.9616102968221978
MichaelisMenten_heteroskedastic_noise05,MichaelisMenten,heteroskedastic,0.05,EnsembleCalibrated,0.75600004,0.09105351438773446,0.03835712733581694,0.02995556971624922,0.9616102968221978
MichaelisMenten_heteroskedastic_noise10,MichaelisMenten,heteroskedastic,0.1,Ensemble,0.902,0.22179552187238816,0.06501127644144104,0.05158241541127408,0.8978334147744347
MichaelisMenten_heteroskedastic_noise10,MichaelisMenten,heteroskedastic,0.1,EnsembleCalibrated,0.91200006,0.2279372578147903,0.06501127644144104,0.05158241541127408,0.8978334147744347
Gaussian_homoskedastic_noise01,Gaussian,homoskedastic,0.01,Ensemble,0.568,0.013718297138248662,0.01225900015211661,0.00820008495539868,0.9987956565021605
Gaussian_homoskedastic_noise01,Gaussian,homoskedastic,0.01,EnsembleCalibrated,0.628,0.01605711343657464,0.01225900015211661,0.00820008495539868,0.9987956565021605
Gaussian_homoskedastic_noise02,Gaussian,homoskedastic,0.02,Ensemble,0.626,0.026649762508505283,0.015237943352883455,0.010633365095638276,0.9981422873247363
Gaussian_homoskedastic_noise02,Gaussian,homoskedastic,0.02,EnsembleCalibrated,0.67200005,0.02735933396391904,0.015237943352883455,0.010633365095638276,0.9981422873247363
Gaussian_homoskedastic_noise05,Gaussian,homoskedastic,0.05,Ensemble,0.628,0.03812371273001827,0.019755877774408792,0.015868662581903212,0.9968943510465327
Gaussian_homoskedastic_noise05,Gaussian,homoskedastic,0.05,EnsembleCalibrated,0.632,0.038326142532294584,0.019755877774408792,0.015868662581903212,0.9968943510465327
Gaussian_homoskedastic_noise10,Gaussian,homoskedastic,0.1,Ensemble,0.604,0.08171238082192077,0.03965074652115851,0.03186778927608527,0.9876720447047634
Gaussian_homoskedastic_noise10,Gaussian,homoskedastic,0.1,EnsembleCalibrated,0.688,0.09932853595471336,0.03965074652115851,0.03186778927608527,0.9876720447047634
Gaussian_heteroskedastic_noise01,Gaussian,heteroskedastic,0.01,Ensemble,0.77,0.017928396174069532,0.00872082170687824,0.005729600540319565,0.9993921362915723
Gaussian_heteroskedastic_noise01,Gaussian,heteroskedastic,0.01,EnsembleCalibrated,0.88000005,0.02413037753070109,0.00872082170687824,0.005729600540319565,0.9993921362915723
Gaussian_heteroskedastic_noise02,Gaussian,heteroskedastic,0.02,Ensemble,0.68,0.5769848925781951,0.3719276091683922,0.30412766648669753,-0.10853698452665284
Gaussian_heteroskedastic_noise02,Gaussian,heteroskedastic,0.02,EnsembleCalibrated,0.67600006,0.6113373507250851,0.3719276091683922,0.30412766648669753,-0.10853698452665284
Gaussian_heteroskedastic_noise05,Gaussian,heteroskedastic,0.05,Ensemble,0.806,0.069851946080361,0.033233874883616274,0.021157245263908674,0.9912256715249538
Gaussian_heteroskedastic_noise05,Gaussian,heteroskedastic,0.05,EnsembleCalibrated,0.84400004,0.07904305946268401,0.033233874883616274,0.021157245263908674,0.9912256715249538
Gaussian_heteroskedastic_noise10,Gaussian,heteroskedastic,0.1,Ensemble,0.766,0.12475866920113791,0.06610268009970513,0.041183497242734506,0.9660703220095096
Gaussian_heteroskedastic_noise10,Gaussian,heteroskedastic,0.1,EnsembleCalibrated,0.83800006,0.1554729778553791,0.06610268009970513,0.041183497242734506,0.9660703220095096
